sage_ITEMNO,sage_description,sage_pt_cost,vendor,item_number,item_description,vendor_price_usd,match_score,match_step
W153,SOCKET AXLE NUT 30MM FWD CHR-MOLY                           ,6.3,Workpro,W153,30mm FWD Axle Nut Socket CrMo,7.23,100.0,step1_itemno
W1532,SET TOOL HOME AND AUTO (107PC)                              ,32.45,Workpro,W1532,107 pc. Home & Auto Tool Set,37.08,100.0,step1_itemno
W1538,SET SOCKET TOOL 94 PC                                       ,32.45,Workpro,W1538,94 pc. Garage Tool Set,37.32,100.0,step1_itemno
W154,SOCKET NUT AXLE CrMo 36MM                                   ,7.52,Workpro,W154,36mm FWD Axle Nut Socket CrMo,8.92,100.0,step1_itemno
W1541,"SET SOCKET 1/4"" & 3/8"" DR 40-PC                             ",5.86,Workpro,W141,"4"" 2-Jaw Gear Puller",4.49,88.9,step1_itemno
W1543,TOOL SET HOMEOWNER'S (75PC)                                 ,16.64,Workpro,W1543,75 pc. Homeowner's Tool Set,19.13,100.0,step1_itemno
W155,SOCKET AXLE NUT 32MM CHR-MOLY                               ,6.88,Workpro,W155,32mm FWD Axle Nut Socket CrMo,7.91,100.0,step1_itemno
W1554,KIT FIRST AID                                               ,5.96,Workpro,W1554,Handyman First Aid Kit,6.86,100.0,step1_itemno
W1557,KIT ROADSIDE EMERGENCY (11PC)                               ,14.51,Workpro,W1557,11 pc. Roadside Emergency Kit,17.28,100.0,step1_itemno
W156,SOCKET NUT AXLE CrMo 34MM                                   ,6.99,Workpro,W156,34mm FWD Axle Nut Socket CrMo,8.31,100.0,step1_itemno
W158,SOCKET AXLE NUT TOYOTA 39MM (12PT)                          ,10.76,Workpro,W158,39mm 12pt Toyota Axle Nut Socket CrMo,12.81,100.0,step1_itemno
W1580,SAFETY VEST REFLECTIVE HIGH VISIBILITY (L-XL)               ,4.88,Workpro,W1580,High-Visibility Reflective Safety Vest,5.61,100.0,step1_itemno
W158C,COMPRESSOR BRAKE SPRING                                     ,2.46,Workpro,W158C,Brake Spring Compressor,2.87,100.0,step1_itemno
W159C,INSTALLER SPRING BRAKE                                      ,2.44,Workpro,W159C,Brake Spring Installer,2.85,100.0,step1_itemno
W15MP,WRENCH SET COMBO MET 5 PC                                   ,4.32,Workpro,W15MP,5 pc. Metric Combination Wrench Set,5.08,100.0,step1_itemno
W15P,WRENCH SET COMBO SAE 5 PC                                   ,4.32,Workpro,W15P,5 pc. SAE Combination Wrench Set,4.93,100.0,step1_itemno
W1621,JACK HYDRAULIC BOTTLE 2 TON (PT)                            ,14.45,Workpro,W1621,2 Ton Hydraulic Bottle Jack,14.74,100.0,step1_itemno
W1621CK,KIT REPAIR BOTTLE JACK (FOR 2 TON) PT                       ,6.75,Workpro,W1621,2 Ton Hydraulic Bottle Jack,14.74,83.3,step1_itemno
W1623,JACK HYDRAULIC BOTTLE 4 TON (PT)                            ,18.24,Workpro,W1623,4 Ton Hydraulic Bottle Jack,18.61,100.0,step1_itemno
W1623CK,KIT REPAIR BOTTLE JACK (FOR 4 TON) PT                       ,6.75,Workpro,W123C,Ignition Point File,1.18,83.3,step1_itemno
W1625,JACK HYDRAULIC BOTTLE 6 TON (PT)                            ,23.59,Workpro,W1625,6 Ton Hydraulic Bottle Jack,24.07,100.0,step1_itemno
W1625CK,KIT REPAIR BOTTLE JACK (FOR 6 TON) PT                       ,6.75,Workpro,W125C,Thickness Gauge 32 Blades,4.39,83.3,step1_itemno
W1628,JACK HYDRAULIC BOTTLE 8 TON (PT)                            ,30.18,Workpro,W1628,8 Ton Hydraulic Bottle Jack,32.44,100.0,step1_itemno
W1628CK,KIT REPAIR BOTTLE JACK (FOR 8 TON) PT                       ,6.75,Workpro,W1628,8 Ton Hydraulic Bottle Jack,32.44,83.3,step1_itemno
W1631,PUMP FOOT HIGH CAPACITY                                     ,10.02,Workpro,W161,GM Harmonic Balancer Puller LS Engines,32.48,88.9,step1_itemno
W1632,JACK HYDRAULIC BOTTLE 12 TON (PT) TALL (23700)              ,37.47,Workpro,W1632,12 Ton Hydraulic Bottle Jack,38.23,100.0,step1_itemno
W1632CK,KIT REPAIR BOTTLE JACK (FOR 12 TON) PT                      ,6.75,Workpro,W162C,Spark Plug Gauge & Gap Tool,1.74,83.3,step1_itemno
W1633,JACK HYDRAULIC BOTTLE 20 TON (PT) TALL                      ,53.43,Workpro,W1633,20 Ton Hydraulic Bottle Jack,57.55,100.0,step1_itemno
W1633CK,KIT REPAIR BOTTLE JACK (FOR 20 TON) PT                      ,6.75,Workpro,W1633,20 Ton Hydraulic Bottle Jack,57.55,83.3,step1_itemno
W1635,PUMP TIRE                                                   ,5.17,Workpro,W1635,Standard Tire Pump,5.28,100.0,step1_itemno
W1636,JACK HYDRAULIC BOTTLE 30/32 TON (PT) (23720)                ,79.28,Workpro,W1636,30 Ton Hydraulic Bottle Jack,85.47,100.0,step1_itemno
W1637,JACK HYDRAULIC BOTTLE 50 TON (PT)                           ,131.72,Workpro,W1637,50 Ton Heavy Duty Hydraulic Bottle Jack,162.57,100.0,step1_itemno
W1638DB,FOOT PUMP                                                   ,5.49,Workpro,W1638DB,Foot Operated Air Pump,6.29,100.0,step1_itemno
W1641,"BATTERY FILLER (6"" ) SPOUT                                  ",2.26,Workpro,W1641,Deluxe Battery Filler,2.59,100.0,step1_itemno
W1643,JACK HYDRAULIC BOTTLE 12 TON (PT) SHORT (23705)             ,33.45,Workpro,W1643,12 Ton Shorty Hydraulic Bottle Jack,34.13,100.0,step1_itemno
W1644,JACK HYDRAULIC BOTTLE 20 TON (PT) SHORT                     ,43.62,Workpro,W1644,20 Ton Shorty Hydraulic Bottle Jack,53.71,100.0,step1_itemno
W1646,ADAPTER ZINC STUB POST (FEMALE) (PK-2)                      ,2.57,Workpro,W1646,Zinc Female Stud Battery Post Adapter,2.62,100.0,step1_itemno
W16500,TESTER DEF PROFESSIONAL                                     ,6.52,Workpro,W16500,Professional DEF Tester,7.49,100.0,step1_itemno
W1651,SET MULTI-POWER (10 TON)                                    ,258.03,Workpro,W1651,10 Ton Multi-Power Set,263.3,100.0,step1_itemno
W1652,TERMINAL PROTECTOR WRAP AROUND                              ,1.2,Workpro,W16852,"32"" Switch to Starter Cable",6.55,90.9,step1_itemno
W1656C,TESTER ANTI-FREEZE DELUXE                                   ,2.55,Workpro,W1656C,Deluxe Anti-Freeze Tester,2.94,100.0,step1_itemno
W1657C,TESTER BATTERY DELUXE                                       ,2.7,Workpro,W1657C,Deluxe Battery Tester,3.12,100.0,step1_itemno
W1658,"FAN OSCILLATING 6"" 12V                                      ",13.298667,Workpro,W1658,12V Oscillating Fan w/Clamp,13.57,100.0,step1_itemno
W1658C,WASHER BATTERY TOP POST                                     ,0.79,Workpro,W1658C,Top Post Battery Washer,0.9,100.0,step1_itemno
W166,"WRENCH SPARK PLUG 5""                                        ",2.05,Workpro,W166,"5"" Spark Plug Wrench",2.37,100.0,step1_itemno
W1661,CLAMPS CABLE 450 AMP BOOSTER                                ,4.23,Workpro,W161,GM Harmonic Balancer Puller LS Engines,32.48,88.9,step1_itemno
W1665,JUMP STARTER  900 AMP PORTABLE                              ,89.41,Workpro,W1665,900 Amp Jump Starter with Inflator,91.24,100.0,step1_itemno
W1667,JUMPER CABLES BATTERY 4GA 20'                               ,70.86,Workpro,W1667,4GA 20' Battery Jumper Cables,84.92,100.0,step1_itemno
W1669,CABLE JUMPER 2GA 20FT TRACTOR/TRAILER HEAD 800-AMPS         ,35.505,Workpro,W1669,2GA 20' Battery Jumper Cables,37.39,100.0,step1_itemno
W1671,CABLE JUMPER 8GA 12FT CAR/PICKUP 300-AMPS                   ,10.65,Workpro,W1671,8GA 12' Battery Jumper Cables,11.06,100.0,step1_itemno
W1673,CABLE JUMPER 4GA 20FT TRUCK/LARGE SUV 600-AMPS              ,22.94,Workpro,W1673,4GA 20' Battery Jumper Cables,27.69,100.0,step1_itemno
W1682C,BOLT BATTERY CHARGING SIDE POST (SIDE TERMINAL)             ,2.575,Workpro,W1682C,Battery Charging Post,2.63,100.0,step1_itemno
W1683,TERMINAL BATTERY HD TRUCK (PT)                              ,2.49,Workpro,W1683,Heavy Duty Truck Battery Terminal,2.91,100.0,step1_itemno
W1684,TERMINAL BATTERY QUICK DISCONNECT                           ,3.07,Workpro,W1684,Quick Disconnect Battery Terminal,3.53,100.0,step1_itemno
W16853,LUGS EYELET TIN PLATED 4 GA                                 ,1.76,Workpro,W1683,Heavy Duty Truck Battery Terminal,2.91,90.9,step1_itemno
W16854,LUGS EYELET TIN PLATED 6 GA                                 ,1.61,Workpro,W1684,Quick Disconnect Battery Terminal,3.53,90.9,step1_itemno
W1686B,TERMINAL BATTERY DELUXE                                     ,1.39,Workpro,W1686B,Deluxe Lead Battery Terminal,1.42,100.0,step1_itemno
W1687,TERMINAL BATTERY SET OEM STYLE                              ,3.97,Workpro,W1687,OEM Style Battery Terminal Set,4.05,100.0,step1_itemno
W1688-2C,TERMINAL BATTERY MARINE WING TYPE (2 IN PK)                 ,3.9,Workpro,W1688-2C,2 pc. Marine Battery Terminals,4.58,100.0,step1_itemno
W1691C,SET BATTERY HOLD DOWN CROSSBAR                              ,3.22,Workpro,W1691C,Crossbar Battery Hold Down,4.18,100.0,step1_itemno
W1692PC,TRAY BATTERY PLASTIC                                        ,3.89,Workpro,W1692PC,Small Plastic Battery Tray,4.47,100.0,step1_itemno
W1694C,"BOLT BATTERY HOLD DOWN ""J"" STYLE  (8"")                      ",2.15,Workpro,W1694C,"8"" J Style Battery Bolts",2.8,100.0,step1_itemno
W1695C,"BOLT BATTERY HOLD DOWN ""J"" STYLE  (10"")                     ",2.37,Workpro,W1695C,"10"" J Style Battery Bolts",3.04,100.0,step1_itemno
W1696C,"BOLT BATTERY HOLD DOWN ""J"" STYLE  (12"")                     ",3.08,Workpro,W1696C,"12"" J Style Battery Bolts",3.14,100.0,step1_itemno
W1697C,"BOLT BATTERY HOLD DOWN ""L"" STYLE  (10"")                     ",2.46,Workpro,W1697C,"10"" L Style Battery Bolts",3.17,100.0,step1_itemno
W1699C,STRAP BATTERY HOLD DOWN UNIVERSAL RUBBER                    ,3.57,Workpro,W1699C,Universal Battery Hold Down,4.04,100.0,step1_itemno
W170C,BRAKE BLEEDER HOSE                                          ,3.74,Workpro,W170C,Brake Bleeder Hose,3.82,100.0,step1_itemno
W1714,SET ELECTRICIAN TOOL (3PC)                                  ,17.31,Workpro,W1714,3 pc. Electrician Tool Set,17.66,100.0,step1_itemno
W171C,WRENCH FILTER CLAMP ADJUSTABLE                              ,4.11,Workpro,W171C,"Adjustable Filter Wrench 2-3/4"" to 3""",4.73,100.0,step1_itemno
W1729,SCREWDRIVER SET STRIKE CAP 6PC                              ,6.87,Workpro,W1729,6 pc. Strike Cap Screwdriver Set,7.01,100.0,step1_itemno
W1730,SCREWDRIVER DIAMOND TIP (2PC)                               ,6.06,Workpro,W1730,2 pk. Diamond Tip Screwdriver Set,6.97,100.0,step1_itemno
W1732,SCREWDRIVER CHROMATIC SET (6PC)                             ,8.27,Workpro,W1732,6 pc. Chromatic Screwdriver Set,9.43,100.0,step1_itemno
W1733,WRENCH SET AND 3-PC PLIER                                   ,13.91,Workpro,W1733,3 pc. Pliers & Wrench Set,16.32,100.0,step1_itemno
W1734,SET PLIERS 3-PC                                             ,10.09,Workpro,W1074,24 pc. SAE and Metric Combo Wrench Set,31.9,80.0,step1_itemno
W1735,SET SCREWDRIVER PRECISION (37PC)                            ,8.37,Workpro,W175,Brake Spring Pliers,4.34,88.9,step1_itemno
W173C,WRENCH FILTER STRAP                                         ,3.06,Workpro,W173C,"Heavy Duty Strap Filter Wrench up to 6""",3.12,100.0,step1_itemno
W1740,SET SCREWDRIVER GO-THRU (6PC)                               ,7.83,Workpro,W1740,6 pc. Go-Thru Screwdriver Set,11.71,100.0,step1_itemno
W1741,SET SCREWDRIVER GO-THRU (12PC)                              ,18.67,Workpro,W1741,12 pc. Go-Thru Screwdriver Set,21.47,100.0,step1_itemno
W175,PLIERS SPRING BRAKE                                         ,3.78,Workpro,W175,Brake Spring Pliers,4.34,100.0,step1_itemno
W178C,"BRAKE SPOON (7"")                                            ",1.56,Workpro,W178C,"7"" Brake Spoon",1.58,100.0,step1_itemno
W179C,"BRAKE SPOON (9"")                                            ",1.89,Workpro,W179C,"9"" Brake Spoon",1.93,100.0,step1_itemno
W180,KIT SERVICE BRAKE 5pc                                       ,15.34,Workpro,W180,5 pc. Brake Service Kit,17.63,100.0,step1_itemno
W182,TESTER FLUID BRAKE UNIVERSAL                                ,22.09,Workpro,W182,Universal Brake Fluid Tester,23.74,100.0,step1_itemno
W185,RATCHETING CRIMPER SET 151PC                                ,28.47,Workpro,W185,151 pc. Ratcheting Crimper Set,29.05,100.0,step1_itemno
W190C,TOOL WIRE STRIPPER/CRIMPER                                  ,3.31,Workpro,W190C,Wire Crimper/Stripper,3.38,100.0,step1_itemno
W1915,GAUGE PRESSURE TIRE                                         ,3.04,Workpro,W1915,Tire Shaped Tire Pressure Gauge,3.5,100.0,step1_itemno
W192C,GAUGE TIRE PRESSURE DUAL HEAD                               ,2.8,Workpro,W192C,Dual Head Tire Gauge,2.86,100.0,step1_itemno
W1938,KEY SET HEX  METRIC  JUMBO  6 Pc                            ,15.593333,Workpro,W1938,6 pc. Jumbo Metric Hex Wrench Key Set,15.91,100.0,step1_itemno
W1939,KEY SET HEX  SAE JUMBO  6 Pc                                ,15.593333,Workpro,W1939,6 pc. Jumbo SAE Hex Key Wrench Set,15.91,100.0,step1_itemno
W193C,HONE CYLINDER BRAKE 3 STONES                                ,6.99,Workpro,W193C,Pro Brake Cylinder Hone,8.07,100.0,step1_itemno
W196C,HONE CYLINDER BRAKE 2 STONES                                ,6.97,Workpro,W196C,2 Stone Brake Cylinder Hone,7.5,100.0,step1_itemno
W197C,BRUSH CLEANING PARTS                                        ,1.41,Workpro,W197C,Parts Cleaning Brush,1.83,100.0,step1_itemno
W199C,STONES  HONE DOMESTIC BRAND                                 ,3.45,Workpro,W199C,Domestic Brand Hone Stones,3.94,100.0,step1_itemno
W200,WIRE STRIPPER                                               ,8.1,Workpro,W200,Automatic Wire Strippers,9.51,100.0,step1_itemno
W2004,MAGNIFIER LED                                               ,11.67,Workpro,W2004,LED Helping Hands Magnifier,13.7,100.0,step1_itemno
W2006,KIT RIVET THREADED INSERT SAE (45pc)                        ,27.05,Workpro,W2006,45 pc. SAE Threaded Insert Rivet Kit,27.94,100.0,step1_itemno
W2007,KIT RIVET THREADED INSERT METRIC (45pc)                     ,24.0,Workpro,W2007,45 pc. Metric Threaded Insert Rivet Kit,28.48,100.0,step1_itemno
W2009,GUN RIVET HAND PRO.                                         ,17.06,Workpro,W2009,Professional Hand Rivet Gun Set,17.41,100.0,step1_itemno
W2010,MAGNIFIER HELPING HANDS                                     ,4.6,Workpro,W2010,Helping Hands Magnifier,5.28,100.0,step1_itemno
W2012,KIT GUN SOLDERING                                           ,16.34,Workpro,W2012,60W Soldering Gun Kit,16.67,100.0,step1_itemno
W2013,SOLDER IRON U.L. LISTED PENCIL                              ,5.08,Workpro,W2013,U.L. Listed Pencil Solder Iron,5.84,100.0,step1_itemno
W2017C,RIVETER HAND SET 67PC                                       ,8.42,Workpro,W2017C,67 pc. Hand Rivet Gun Set,10.02,100.0,step1_itemno
W2019A,KIT SOLDERING GUN HEAVY DUTY                                ,18.68,Workpro,W2019A,Heavy Duty Soldering Gun Kit,20.38,100.0,step1_itemno
W202,WIRE STRIPPER/ CRIMPER 2 IN 1                               ,12.97,Workpro,W202,2-in-1 Wire Stripper/Crimper,14.8,100.0,step1_itemno
W2029DB,SET PULLER DENT & SEAL (9PC)                                ,24.59,Workpro,W2029DB,9 pc. Dent & Seal Puller Set,29.71,100.0,step1_itemno
W2030,SET BAR PRY PROFESSIONAL  (4PC)                             ,24.86,Workpro,W2030,4 pc. Professional Pry Bar Set,28.39,100.0,step1_itemno
W2033,ALIGNMENT BAR 30 INCH                                       ,12.82,Workpro,W2033,"30"" Alignment Bar",16.27,100.0,step1_itemno
W2034,"BAR PRY HEAVY DUTY 36""                                      ",31.69,Workpro,W2034,"36"" Heavy Duty Pry Bar",34.09,100.0,step1_itemno
W2038,SET BAR  COMPOSITE MINI PRY                                 ,2.83,Workpro,W2038,Lightweight Mini Pry Bar Set,3.15,100.0,step1_itemno
W2039,HOOK COMPOSITE MINI PICK                                    ,3.0,Workpro,W2039,Lightweight Mini Pick & Hook Set,3.15,100.0,step1_itemno
W2040,SET SNIP TIN AVIATION 3PCs                                  ,16.13,Workpro,W2040,3 pc. Aviation Tin Snip Set,18.93,100.0,step1_itemno
W2050,GUN STAPLE 3 IN 1                                           ,8.37,Workpro,W200,Automatic Wire Strippers,9.51,88.9,step1_itemno
W2051,ASSORTMENT STAPLE & BRAD NAIL                               ,1.73,Workpro,W2051,Staple & Brad Nail Assortment,2.29,100.0,step1_itemno
W2070,TOOL MAGNETIC EXTENDABLE PICKUP 50LB                        ,7.36,Workpro,W2070,Extendable Magnetic Pickup Tool 50 lb.,8.46,100.0,step1_itemno
W207C,C-CLAMP MALLEABLE IRON 4 IN.                                ,4.52,Workpro,W207C,"4"" C-Clamp Ductile Iron",5.58,100.0,step1_itemno
W2080,SOLDERING ACCESSORY KIT (17PC)                              ,14.8,Workpro,W200,Automatic Wire Strippers,9.51,88.9,step1_itemno
W209,PAD SPREADER BRAKE DISC                                     ,3.77,Workpro,W209,Disc Brake Pad Spreader,4.53,100.0,step1_itemno
W2149,"WRENCH PIPE 14"" ADJUSTABLE AUTOMATIC                        ",12.89,Workpro,W219,"Metal Funnel w/12"" Flex Spout",6.71,88.9,step1_itemno
W215C,C-CLAMP MALLEABLE IRON 8 IN.                                ,9.95,Workpro,W215C,"8"" C-Clamp Ductile Iron",12.43,100.0,step1_itemno
W219,"FUNNEL METAL W/12"" FLEX SPOUT                               ",6.58,Workpro,W219,"Metal Funnel w/12"" Flex Spout",6.71,100.0,step1_itemno
W220,"FUNNEL PLASTIC W/18"" FLEX SPOUT                             ",1.156667,Workpro,W220,"Plastic Funnel w/18"" Spout",1.18,100.0,step1_itemno
W2230,LIGHT WORK LED (120V)                                       ,16.18,Workpro,W32230,"1/2"" Dr. 30mm 6pt Socket",3.35,90.9,step1_itemno
W2231,LIGHT WORK 30 LED SLIM                                      ,10.82,Workpro,W2231,600+LM Li-Ion Slim Work Light,12.45,100.0,step1_itemno
W2239,LIGHT SMD WORK 2600+LM                                      ,30.32,Workpro,W2239,2600+LM SMD Work Light,34.87,100.0,step1_itemno
W227,FUNNEL PLASTIC FLEX HANDLE (2PC)                            ,1.54,Workpro,W227,2 pc. Flex Funnel w/Handle,1.57,100.0,step1_itemno
W2280,BULBS HALOGEN  500W (2PK)                                   ,2.35,Workpro,W220,"Plastic Funnel w/18"" Spout",1.18,88.9,step1_itemno
W232C,SET BRUSH PAINT 3PC                                         ,1.07,Workpro,W232C,3 pc. Paint Brush Set,1.24,100.0,step1_itemno
W233,EXTENDED SCRAPER                                            ,2.94,Workpro,W233,"12"" Extended Razor Scraper w/Blades",3.0,100.0,step1_itemno
W2338,LIGHT PEN LED FIREPOINT                                     ,5.74,Workpro,W233,"12"" Extended Razor Scraper w/Blades",3.0,88.9,step1_itemno
W2406,LIGHT WORK LED SLIM                                         ,24.41,Workpro,W2406,1000+LM Li-ion LED Work Light,24.91,100.0,step1_itemno
W2418,LIGHT WORK THIN FOLDING 500+LM                              ,9.21,Workpro,W2418,500+LM Folding Thin Work Light,10.6,100.0,step1_itemno
W242,PUMP OILER PINT 3/4                                         ,3.04,Workpro,W242,3/4 pt. Pump Oiler w/Flex Spout,3.71,100.0,step1_itemno
W243,OILER PRECISION                                             ,5.91,Workpro,W2043,Center Cut Aviation Tin Snips,5.74,88.9,step1_itemno
W2491,FLASHLIGHT 65LM WITH KNIFE                                  ,6.89,Workpro,W2491,60+LM Composite Flashlight w/Knife,8.08,100.0,step1_itemno
W2500P,"DRIVER IMPACT 3/8"" DR (4 BITS)                              ",8.91,Workpro,W2500P,"3/8"" Dr. Impact Driver w/4 Bits",10.26,100.0,step1_itemno
W2504,"DRIVER IMPACT 1/2"" DR (8 BITS)                              ",9.56,Workpro,W2504,"1/2"" Dr. Impact Driver w/8 Bits",11.0,100.0,step1_itemno
W2556,ADAPTER USB                                                 ,3.66,Workpro,W2556,Dual 12V USB Adapter,4.21,100.0,step1_itemno
W2655B,BATTERY RECHARGE LI-ION                                     ,4.45,Workpro,W2655B,18650 Li-Ion Rechargeable Battery,5.1,100.0,step1_itemno
W2655C,CHARGER USB BATTERY DUAL 18650                              ,4.5,Workpro,W2655C,Dual 18650 Battery USB Charger,5.18,100.0,step1_itemno
W2656,FLASHLIGHT FIREPOINT 3AAA                                   ,4.81,Workpro,W2656,100LM Firepoint X  Flashlight,5.54,100.0,step1_itemno
W2657,FLASHLIGHT FIREPOINT X 3AAA                                 ,6.25,Workpro,W2657,300+LM Firepoint X Penlight,7.2,100.0,step1_itemno
W2658,FLASHLIGHT DUOFOCUS LED FIREPOINT 3AAA (RECHARGEABLE)       ,21.32,Workpro,W2658,1000+LM Firepoint X Li-Ion Flashlight,24.52,100.0,step1_itemno
W2660,HEADLAMP FIREPOINT X LI-ION                                 ,18.36,Workpro,W2660,1000+LM Li-Ion 2-in-1 Headlamp,21.11,100.0,step1_itemno
W2683,HEADLAMP DUAL BEAM 450+LM                                   ,10.78,Workpro,W2683,450+LM Dual Beam Headlamp,12.4,100.0,step1_itemno
W270,WRENCH FILTER  3- JAW                                       ,4.85,Workpro,W270,"3-Jaw Filter Wrench 2-1/2 to 3-7/8""",4.95,100.0,step1_itemno
W2918,ASSORTMENT CABLE TIES 250 PCS                               ,3.79,Workpro,W2918,250 pc. Cable Tie Assortment,3.87,100.0,step1_itemno
W2925,ASSORTMENT CABLE TIES (1000 PCS)                            ,10.565,Workpro,W2925,"1,000 pc. Cable Tie Assortment 4 to 12""",10.78,100.0,step1_itemno
W2936,MULTIMETER TEST LEAD SET (10PC)                             ,2.76,Workpro,W2936,10 pc. Multicolor Test Lead Set,3.24,100.0,step1_itemno
W2937,MULTIMETER  UNIVERSAL TEST LEAD                             ,3.98,Workpro,W2937,Universal Multimeter Test Lead,4.05,100.0,step1_itemno
W2938,BACK PROBE LEAD SET (20PC)                                  ,15.0,Workpro,W2938,20 pc. Back Probe Lead Set,15.31,100.0,step1_itemno
W2965,SET EXTRACTOR SCREW 5 PC.                                   ,2.54,Workpro,W2965,5 pc. Screw Extractor Set,2.98,100.0,step1_itemno
W2966,SET EXTRACTOR SCREW 5 PC. HEAVY DUTY CHROME MOLY            ,6.06,Workpro,W2966,5 pc. Screw Extractor Set CrMo,6.19,100.0,step1_itemno
W2968,SET EXTRACTOR SCREW 8 PC.                                   ,7.31,Workpro,W2968,8 pc. Screw Extractor Set,8.58,100.0,step1_itemno
W2969,MULTIMETER DIGITAL AUTOMOTIVE                               ,12.11,Workpro,W2969,Digital Automotive Multimeter,12.36,100.0,step1_itemno
W2971,MULTIMETER DIGITAL                                          ,15.43,Workpro,W2971,Digital Multimeter Tester w/Auto Ranging,15.74,100.0,step1_itemno
W2972,MULTIMETER DIGITAL AUTOMOTIVE                               ,22.43,Workpro,W2972,Digital Automotive Multimeter,25.81,100.0,step1_itemno
W2974,TESTER DIGITAL MULTI METER                                  ,6.38,Workpro,W2974,Digital Multimeter Tester,6.51,100.0,step1_itemno
W2976,SCANNER DIAGNOSTIC MULTILINGUAL CAN OBII                    ,21.66,Workpro,W2976,OBDII Multilingual Diagnostic Scan Tool,24.91,100.0,step1_itemno
W2977,SCAN DIAGNOSTIC CAN OBDII TOOL                              ,15.26,Workpro,W2977,Can OBDII Diagnostic Scan Tool,15.57,100.0,step1_itemno
W2978,CIRCUIT TESTER HYBRID                                       ,12.11,Workpro,W2978,Hybrid Circuit Tester,13.92,100.0,step1_itemno
W2979C,TESTER MULTI POCKET                                         ,6.77,Workpro,W2979C,Pocket Multi-Tester,7.79,100.0,step1_itemno
W2980,TESTER BATTERY L.E.D                                        ,5.28,Workpro,W2980,LED Battery Tester,6.06,100.0,step1_itemno
W2981,TESTER CIRCUIT 6/12/24 VOLT HEAVY DUTY                      ,3.05,Workpro,W2981,12V Heavy-Duty Circuit Tester,3.58,100.0,step1_itemno
W2982,TESTER DELUXE CONTINUITY                                    ,2.51,Workpro,W2982,Deluxe Continuity Tester,2.55,100.0,step1_itemno
W2985,CHARGER 12V BATTERY FLOAT                                   ,12.26,Workpro,W2985,12V Automatic Float Charger,12.5,100.0,step1_itemno
W2986,TESTER DIGITAL BATTERY                                      ,5.07,Workpro,W32986,"1/2"" Dr. 16mm Hex Bit Socket",3.41,90.9,step1_itemno
W2987,TESTER BATTERY ANALOG                                       ,3.46,Workpro,W32987,"1/2"" Dr. 17mm Hex Bit Socket",3.41,90.9,step1_itemno
W2988,TESTER BATTERY LOAD                                         ,24.3,Workpro,W2988,100 Amp Battery Load Tester,24.81,100.0,step1_itemno
W2989,TESTER BATTERY ALTERNATOR                                   ,6.58,Workpro,W2989,Battery Alternator Tester,7.56,100.0,step1_itemno
W2990,CIRCUIT TESTER DIGITAL LED                                  ,29.9,Workpro,W2990,LED Digital Circuit Tester,30.5,100.0,step1_itemno
W2991,PROBE LOGISTIC COMPUTER SAFE                                ,9.38,Workpro,W2991,Computer Safe Logistic Probe,9.57,100.0,step1_itemno
W2992,TESTER CIRCUIT LCD DIGITAL                                  ,16.356667,Workpro,W2992,LCD Digital Circuit Tester,16.69,100.0,step1_itemno
W2997,CHARGER BATTERY SOLAR PANEL 2.5W                            ,21.14,Workpro,W2997,2.5-Watt Solar Battery Charger,24.31,100.0,step1_itemno
W2998,ANALYZER BATTERY DIGITAL 12V                                ,29.19,Workpro,W2998,Digital 12V Battery Analyzer,29.79,100.0,step1_itemno
W29C,"MIRROR BLIND SPOT STICK-ON 3-3/4""                           ",1.15,Workpro,W129C,Thickness Gauge 15 Blades,2.75,88.9,step1_itemno
W3-SKH,SET SOCKET HOLDER (3PC)                                     ,3.96,Workpro,W3-SKH,3 pc. Socket Holder Set,5.12,100.0,step1_itemno
W30008,WRENCH COMBINATION 8MM METRIC                               ,2.73,Workpro,W30008,8mm Combination Wrench,2.79,100.0,step1_itemno
W30010,WRENCH COMBINATION 10MM METRIC                              ,2.65,Workpro,W30010,10mm Combination Wrench,3.15,100.0,step1_itemno
W30011,WRENCH COMBINATION 11MM                                     ,2.85,Workpro,W30011,11mm Combination Wrench,3.04,100.0,step1_itemno
W30012,WRENCH COMBINATION 12MM METRIC                              ,2.9,Workpro,W30012,12mm Combination Wrench,3.43,100.0,step1_itemno
W30013,WRENCH COMBINATION 13MM                                     ,3.66,Workpro,W30013,13mm Combination Wrench,3.73,100.0,step1_itemno
W30014,WRENCH COMBINATION 14MM                                     ,3.47,Workpro,W30014,14mm Combination Wrench,3.87,100.0,step1_itemno
W30015,WRENCH COMBINATION  15MM                                    ,3.98,Workpro,W30015,15mm Combination Wrench,4.71,100.0,step1_itemno
W30018,WRENCH COMBINATION  18MM                                    ,5.92,Workpro,W30018,18mm Combination Wrench,6.04,100.0,step1_itemno
W30022,WRENCH COMBINATION  22MM                                    ,7.54,Workpro,W30022,22mm Combination Wrench,8.52,100.0,step1_itemno
W30024,WRENCH COMBINATION 24MM                                     ,8.0,Workpro,W30024,24mm Combination Wrench,9.09,100.0,step1_itemno
W3013,SET KNIFE PUTTY & SCRAPER 2PC.                              ,3.24,Workpro,W30013,13mm Combination Wrench,3.73,90.9,step1_itemno
W30208,WRENCH COMBINATION  1/4                                     ,2.27,Workpro,W30208,"1/4"" Combination Wrench",2.41,100.0,step1_itemno
